Crash Number,Date Time,Day of Week,Object 1,Object 2,Street Number,Street Name,Cross Street,LOCATION,Latitude,Longitude,Coordinates
32380,07/03/2014 08:04:00 PM,Thursday,Auto,Auto,1334,Cambridge St,,"1334 Cambridge St Cambridge, MA",42.3735809,-71.0996857,"(42.3735809, -71.0996857)"
32381,07/03/2014 10:30:00 PM,Thursday,Auto,Pedestrian,,Cambridge St,Antrim St,"Cambridge St & Antrim St Cambridge, MA",42.3737793,-71.1012344,"(42.3737793, -71.1012344)"
32382,07/04/2014 01:22:00 PM,Friday,Auto,Auto,,Norfolk St,,"Norfolk St Cambridge, MA",0,0,"(0, 0)"
32383,07/05/2014 02:43:00 AM,Saturday,Auto,Auto,,PROSPECT ST,Hampshire St,"PROSPECT ST & Hampshire St Cambridge, MA",42.3722038,-71.0989761,"(42.3722038, -71.0989761)"
32384,07/06/2014 02:00:00 PM,Sunday,Auto,Auto,,SHERMAN ST,FENNO ST,"SHERMAN ST & FENNO ST Cambridge, MA",42.3851242,-71.1302643,"(42.3851242, -71.1302643)"
32385,07/04/2014 07:40:00 AM,Friday,Auto,Auto,,HURON AVE,Larch Rd,"HURON AVE & Larch Rd Cambridge, MA",42.380249,-71.1435089,"(42.380249, -71.1435089)"
32386,07/08/2014 06:00:00 PM,Tuesday,Auto,Auto,,Wadsworth St,MAIN ST,"Wadsworth St & MAIN ST Cambridge, MA",42.3621941,-71.0842361,"(42.3621941, -71.0842361)"
32387,07/08/2014 08:40:00 PM,Tuesday,Auto,Bicycle,195,Hampshire St,,"195 Hampshire St Cambridge, MA",42.3729401,-71.0998764,"(42.3729401, -71.0998764)"
32388,07/08/2014 09:15:00 AM,Tuesday,Auto,Auto,1945,Massachusetts Ave,,"1945 Massachusetts Ave Cambridge, MA",42.3896484,-71.1202621,"(42.3896484, -71.1202621)"
32389,07/09/2014 11:44:00 AM,Wednesday,Truck,Bicycle,,Massachusetts Ave,HARVARD ST,"Massachusetts Ave & HARVARD ST Cambridge, MA",42.3725471,-71.1159973,"(42.3725471, -71.1159973)"
32390,07/08/2014 08:35:00 AM,Tuesday,Auto,Auto,119,PACIFIC ST,Brookline St,"119 PACIFIC ST Cambridge, MA",42.3612175,-71.1039276,"(42.3612175, -71.1039276)"
32391,07/10/2014 09:35:00 AM,Thursday,Auto,Parked Vehicle,55,MAGAZINE ST,,"55 MAGAZINE ST Cambridge, MA",42.3624649,-71.1073914,"(42.3624649, -71.1073914)"
32392,07/10/2014 10:50:00 AM,Thursday,Auto,Auto,2500,Massachusetts Ave,,"2500 Massachusetts Ave Cambridge, MA",42.3991585,-71.1324158,"(42.3991585, -71.1324158)"
32393,07/10/2014 11:05:00 AM,Thursday,Auto,Auto,,Cambridge St,FAYETTE ST,"Cambridge St & FAYETTE ST Cambridge, MA",42.3738937,-71.1021042,"(42.3738937, -71.1021042)"
32394,07/10/2014 12:40:00 PM,Thursday,Auto,Auto,625,MOUNT AUBURN ST,,"625 MOUNT AUBURN ST Cambridge, MA",42.3751373,-71.1467896,"(42.3751373, -71.1467896)"
32395,07/10/2014 01:07:00 PM,Thursday,Auto,Auto,,Cambridge St,Norfolk St,"Cambridge St & Norfolk St Cambridge, MA",42.3731346,-71.0962372,"(42.3731346, -71.0962372)"
32396,07/10/2014 03:28:00 PM,Thursday,Auto,Auto,14,Arrow St,,"14 Arrow St Cambridge, MA",42.3713455,-71.1151733,"(42.3713455, -71.1151733)"
32397,07/11/2014 08:50:00 AM,Friday,Auto,Auto,1919,MEMORIAL DR,,"1919 MEMORIAL DR Cambridge, MA",0,0,"(0, 0)"
32398,07/11/2014 01:50:00 PM,Friday,Auto,Bicycle,,MAIN ST,Broadway,"MAIN ST & Broadway Cambridge, MA",42.362072,-71.0826645,"(42.362072, -71.0826645)"
32399,07/11/2014 04:57:00 PM,Friday,Auto,Fixed Object,55,Blanchard Rd,,"55 Blanchard Rd Cambridge, MA",42.3924141,-71.1577072,"(42.3924141, -71.1577072)"
32400,07/11/2014 08:00:00 PM,Friday,Auto,Parked Vehicle,34,Porter Rd,Massachusetts Ave,"34 Porter Rd Cambridge, MA",42.3890152,-71.1211319,"(42.3890152, -71.1211319)"
32401,07/11/2014 08:00:00 PM,Friday,Auto,Auto,,Warwick Park,PEMBERTON ST,"Warwick Park & PEMBERTON ST Cambridge, MA",42.3919792,-71.1255493,"(42.3919792, -71.1255493)"
32402,07/12/2014 01:02:00 PM,Saturday,Auto,Bicycle,200,Broadway,,"200 Broadway Cambridge, MA",42.3660316,-71.0926666,"(42.3660316, -71.0926666)"
32403,07/13/2014 01:30:00 PM,Sunday,Auto,Auto,1143,Massachusetts Ave,,"1143 Massachusetts Ave Cambridge, MA",42.3711777,-71.1143188,"(42.3711777, -71.1143188)"
32404,07/14/2014 01:47:00 AM,Monday,Auto,Bicycle,,PROSPECT ST,HARVARD ST,"PROSPECT ST & HARVARD ST Cambridge, MA",42.3683014,-71.1017456,"(42.3683014, -71.1017456)"
32405,07/13/2014 10:11:00 PM,Sunday,Auto,Parked Vehicle,,MAGAZINE ST,Chalk St,"MAGAZINE ST & Chalk St Cambridge, MA",42.3612595,-71.1087189,"(42.3612595, -71.1087189)"
32406,07/14/2014 09:00:00 AM,Monday,Taxi,Bicycle,77,Massachusetts Ave,,"77 Massachusetts Ave Cambridge, MA",42.3592186,-71.0937195,"(42.3592186, -71.0937195)"
32407,07/14/2014 09:38:00 AM,Monday,Auto,Parked Vehicle,91,Thorndike St,,"91 Thorndike St Cambridge, MA",42.3698959,-71.0821533,"(42.3698959, -71.0821533)"
32408,07/03/2014 11:05:00 AM,Thursday,Auto,Parked Vehicle,625,MOUNT AUBURN ST,,"625 MOUNT AUBURN ST Cambridge, MA",42.3751373,-71.1467896,"(42.3751373, -71.1467896)"
32409,07/14/2014 02:25:00 PM,Monday,Auto,Pedestrian,,Concord Ave,FAWCETT ST,"Concord Ave & FAWCETT ST Cambridge, MA",42.3891563,-71.1459961,"(42.3891563, -71.1459961)"
32410,07/13/2014 06:50:00 AM,Sunday,Auto,Auto,,Massachusetts Ave,Washburn Ave,"Massachusetts Ave & Washburn Ave Cambridge, MA",42.3988228,-71.131958,"(42.3988228, -71.131958)"
32411,07/15/2014 04:41:00 PM,Tuesday,Auto,Motorcycle,,Albany St,Portland St,"Albany St & Portland St Cambridge, MA",42.3617287,-71.0939789,"(42.3617287, -71.0939789)"
32412,07/15/2014 10:35:00 AM,Tuesday,Auto,Auto,,Hampshire St,Cambridge St,"Hampshire St & Cambridge St Cambridge, MA",42.3737297,-71.1008377,"(42.3737297, -71.1008377)"
32413,07/15/2014 01:25:00 PM,Tuesday,Auto,Auto,20,Market St,Windsor St,"20 Market St Cambridge, MA",42.3675194,-71.0949173,"(42.3675194, -71.0949173)"
32414,07/15/2014 12:05:00 PM,Tuesday,Auto,Taxi,449,Broadway,,"449 Broadway Cambridge, MA",42.3733063,-71.1111069,"(42.3733063, -71.1111069)"
32415,07/15/2014 05:45:00 PM,Tuesday,Auto,Auto,,Walden St,SHERMAN ST,"Walden St & SHERMAN ST Cambridge, MA",42.3861656,-71.1309738,"(42.3861656, -71.1309738)"
32416,07/16/2014 07:52:00 AM,Wednesday,Auto,Taxi,134,Third St,SPRING ST,"134 Third St Cambridge, MA",42.3689461,-71.0803299,"(42.3689461, -71.0803299)"
32417,07/16/2014 01:40:00 PM,Wednesday,Auto,Auto,,Western Ave,KINNAIRD ST,"Western Ave & KINNAIRD ST Cambridge, MA",42.3649025,-71.1090088,"(42.3649025, -71.1090088)"
32418,07/16/2014 04:18:00 PM,Wednesday,Auto,Fixed Object,170,Albany St,,"170 Albany St Cambridge, MA",42.3595009,-71.0990372,"(42.3595009, -71.0990372)"
32419,07/17/2014 03:30:00 PM,Tuesday,Auto,Auto,99,Bishop Allen Dr,,"99 Bishop Allen Dr Cambridge, MA",42.3658333,-71.1023026,"(42.3658333, -71.1023026)"
32420,07/17/2014 08:00:00 PM,Thursday,Auto,Parked Vehicle,744,Massachusetts Ave,,"744 Massachusetts Ave Cambridge, MA",42.3663406,-71.1052856,"(42.3663406, -71.1052856)"
32421,07/17/2014 08:25:00 AM,Thursday,Auto,Auto,,Massachusetts Ave,Sidney St,"Massachusetts Ave & Sidney St Cambridge, MA",42.3629494,-71.0995789,"(42.3629494, -71.0995789)"
32422,07/18/2014 11:30:00 AM,Friday,Auto,Auto,,MOUNT AUBURN ST,JFK St,"MOUNT AUBURN ST & JFK St Cambridge, MA",42.3725662,-71.1201477,"(42.3725662, -71.1201477)"
32423,07/18/2014 01:50:00 PM,Friday,Auto,Auto,,PLYMOUTH ST,Cardinal Medeiros Ave,"PLYMOUTH ST & Cardinal Medeiros Ave Cambridge, MA",42.3683739,-71.0905991,"(42.3683739, -71.0905991)"
32424,07/18/2014 09:30:00 PM,Friday,Auto,Bicycle,,Portland St,Hampshire St,"Portland St & Hampshire St Cambridge, MA",42.3662949,-71.0917816,"(42.3662949, -71.0917816)"
32425,07/14/2014 09:28:00 AM,Monday,Auto,Moped,,Cambridge St,FELTON ST,"Cambridge St & FELTON ST Cambridge, MA",42.3752022,-71.112236,"(42.3752022, -71.112236)"
32426,07/18/2014 09:30:00 PM,Friday,Auto,Auto,,Portland St,Hampshire St,"Portland St & Hampshire St Cambridge, MA",42.3662949,-71.0917816,"(42.3662949, -71.0917816)"
32427,07/19/2014 12:17:00 PM,Saturday,Auto,Auto,,River St,Franklin St,"River St & Franklin St Cambridge, MA",42.3648911,-71.1058044,"(42.3648911, -71.1058044)"
32428,07/19/2014 04:30:00 PM,Saturday,Auto,Parked Vehicle,201,Monsignor OBrien Hwy,,"201 Monsignor OBrien Hwy Cambridge, MA",42.3721962,-71.0790024,"(42.3721962, -71.0790024)"
